Exam_Board,Qualification,Syllabus_Code,Subject_Name,Component,Component_Number,Component_Title,Marks,Route,Award,Weighting_Percent,Rule
CAIE,Cambridge IGCSE,0452,Accounting,Paper 1,1,Multiple Choice,40,,qualification,30,
CAIE,Cambridge IGCSE,0452,Accounting,Paper 2,2,Structured Written Paper,100,,qualification,70,
CAIE,Cambridge IGCSE,0985,Accounting (9-1),Paper 1,1,Multiple Choice,40,,qualification,30,
CAIE,Cambridge IGCSE,0985,Accounting (9-1),Paper 2,2,Structured Written Paper,100,,qualification,70,
CAIE,Cambridge IGCSE,0548,Afrikaans - Second Language,Paper 1,1,Reading and Writing,60,,qualification,70,
CAIE,Cambridge IGCSE,0548,Afrikaans - Second Language,Paper 2,2,Approximately 50 minutes,40,,qualification,30,
CAIE,Cambridge IGCSE,0600,Agriculture,Paper 1,1,Theory,100,,qualification,70,
CAIE,Cambridge IGCSE,0600,Agriculture,Component 2,2,Practical Coursework,90,,qualification,30,
CAIE,Cambridge IGCSE,7180,Arabic (9-1),Paper 1,1,Writing,50,,qualification,50,
CAIE,Cambridge IGCSE,7180,Arabic (9-1),Paper 2,2,Reading,50,,qualification,50,
CAIE,Cambridge IGCSE,0508,Arabic - First Language,Paper 1,1,Reading and Directed Writing,50,,qualification,50,
CAIE,Cambridge IGCSE,0508,Arabic - First Language,Paper 2,2,Writing,50,,qualification,50,
CAIE,Cambridge IGCSE,7184,Arabic - First Language (9-1),Paper 1,1,Reading,50,,qualification,50,
CAIE,Cambridge IGCSE,7184,Arabic - First Language (9-1),Paper 2,2,Writing,50,,qualification,50,
CAIE,Cambridge IGCSE,0544,Arabic - Foreign Language,Paper 1,1,Approximately 50 minutes,40,,qualification,25,
CAIE,Cambridge IGCSE,0544,Arabic - Foreign Language,Paper 2,2,Reading,40,,qualification,25,
CAIE,Cambridge IGCSE,0544,Arabic - Foreign Language,Paper 3,3,Approximately 10 minutes,40,,qualification,25,
CAIE,Cambridge IGCSE,0544,Arabic - Foreign Language,Paper 4,4,Writing,40,,qualification,25,
CAIE,Cambridge IGCSE,0538,Bahasa Indonesia,Paper 1,1,Reading and Understanding,50,,qualification,35,
CAIE,Cambridge IGCSE,0538,Bahasa Indonesia,Paper 2,2,Reading and Writing,60,,qualification,45,
CAIE,Cambridge IGCSE,0538,Bahasa Indonesia,Component 3,3,Approximately 9–11 minutes,40,,qualification,20,
CAIE,Cambridge IGCSE,0610,Biology,Paper 1,1,Multiple Choice (Core),40,Core,qualification,30,
CAIE,Cambridge IGCSE,0610,Biology,Paper 3,3,Theory (Core),80,Core,qualification,50,
CAIE,Cambridge IGCSE,0610,Biology,Paper 2,2,Multiple Choice (Extended),40,Extended,qualification,30,
CAIE,Cambridge IGCSE,0610,Biology,Paper 4,4,Theory (Extended),80,Extended,qualification,50,All candidates take one practical paper from a choice of two:
CAIE,Cambridge IGCSE,0610,Biology,Paper 5,5,Practical Test,40,Practical,qualification,20,
CAIE,Cambridge IGCSE,0610,Biology,Paper 6,6,Alternative to Practical,40,Practical,qualification,20,
CAIE,Cambridge IGCSE,0970,Biology (9-1),Paper 1,1,Multiple Choice (Core),40,Core,qualification,30,
CAIE,Cambridge IGCSE,0970,Biology (9-1),Paper 3,3,Theory (Core),80,Core,qualification,50,
CAIE,Cambridge IGCSE,0970,Biology (9-1),Paper 2,2,Multiple Choice (Extended),40,Extended,qualification,30,
CAIE,Cambridge IGCSE,0970,Biology (9-1),Paper 4,4,Theory (Extended),80,Extended,qualification,50,All candidates take one practical paper from a choice of two:
CAIE,Cambridge IGCSE,0970,Biology (9-1),Paper 5,5,Practical Test,40,Practical,qualification,20,
CAIE,Cambridge IGCSE,0970,Biology (9-1),Paper 6,6,Alternative to Practical,40,Practical,qualification,20,
CAIE,Cambridge IGCSE,0264,Business,Paper 1,1,Short Answer and Data Response,80,,qualification,50,
CAIE,Cambridge IGCSE,0264,Business,Paper 2,2,Case Study,80,,qualification,50,
CAIE,Cambridge IGCSE,0774,Business (9-1),Paper 1,1,Short Answer and Data Response,80,,qualification,50,
CAIE,Cambridge IGCSE,0774,Business (9-1),Paper 2,2,Case Study,80,,qualification,50,
CAIE,Cambridge IGCSE,0450,Business Studies,Paper 1,1,Short Answer and Data Response,80,,qualification,50,
CAIE,Cambridge IGCSE,0450,Business Studies,Paper 2,2,Case Study,80,,qualification,50,
CAIE,Cambridge IGCSE,0986,Business Studies (9-1),Paper 1,1,Short Answer and Data Response,80,,qualification,50,
CAIE,Cambridge IGCSE,0986,Business Studies (9-1),Paper 2,2,Case Study,80,,qualification,50,
CAIE,Cambridge IGCSE,0620,Chemistry,Paper 1,1,Multiple Choice (Core),40,Core,qualification,30,
CAIE,Cambridge IGCSE,0620,Chemistry,Paper 3,3,Theory (Core),80,Core,qualification,50,
CAIE,Cambridge IGCSE,0620,Chemistry,Paper 2,2,Multiple Choice (Extended),40,Extended,qualification,30,
CAIE,Cambridge IGCSE,0620,Chemistry,Paper 4,4,Theory (Extended),80,Extended,qualification,50,All candidates take one practical paper from a choice of two:
CAIE,Cambridge IGCSE,0620,Chemistry,Paper 5,5,Practical Test,40,Practical,qualification,20,
CAIE,Cambridge IGCSE,0620,Chemistry,Paper 6,6,Alternative to Practical,40,Practical,qualification,20,
CAIE,Cambridge IGCSE,0971,Chemistry (9-1),Paper 1,1,Multiple Choice (Core),40,Core,qualification,30,
CAIE,Cambridge IGCSE,0971,Chemistry (9-1),Paper 3,3,Theory (Core),80,Core,qualification,50,
CAIE,Cambridge IGCSE,0971,Chemistry (9-1),Paper 2,2,Multiple Choice (Extended),40,Extended,qualification,30,
CAIE,Cambridge IGCSE,0971,Chemistry (9-1),Paper 4,4,Theory (Extended),80,Extended,qualification,50,All candidates take one practical paper from a choice of two:
CAIE,Cambridge IGCSE,0971,Chemistry (9-1),Paper 5,5,Practical Test,40,Practical,qualification,20,
CAIE,Cambridge IGCSE,0971,Chemistry (9-1),Paper 6,6,Alternative to Practical,40,Practical,qualification,20,
CAIE,Cambridge IGCSE,0547,Chinese (Mandarin) - Foreign Language,Paper 1,1,Approximately 40 minutes,30,,qualification,25,
CAIE,Cambridge IGCSE,0547,Chinese (Mandarin) - Foreign Language,Paper 2,2,Reading,40,,qualification,25,
CAIE,Cambridge IGCSE,0547,Chinese (Mandarin) - Foreign Language,Paper 3,3,Approximately 10 minutes,40,,qualification,25,
CAIE,Cambridge IGCSE,0547,Chinese (Mandarin) - Foreign Language,Paper 4,4,Writing,40,,qualification,25,
CAIE,Cambridge IGCSE,0509,Chinese - First Language,Paper 1,1,"Reading, Directed Writing and",60,,qualification,50,
CAIE,Cambridge IGCSE,0509,Chinese - First Language,Paper 2,2,Writing,50,,qualification,50,
CAIE,Cambridge IGCSE,0523,Chinese - Second Language,Paper 1,1,Reading and Writing,60,,qualification,60,
CAIE,Cambridge IGCSE,0523,Chinese - Second Language,Paper 2,2,Approx. 35–45 minutes,30,,qualification,20,
CAIE,Cambridge IGCSE,0523,Chinese - Second Language,Component 3,3,Approx. 10–13 minutes,60,,qualification,20,
CAIE,Cambridge IGCSE,0715,Commerce,Paper 1,1,Multiple Choice,40,,qualification,30,
CAIE,Cambridge IGCSE,0715,Commerce,Paper 2,2,Written,80,,qualification,70,
CAIE,Cambridge IGCSE,0478,Computer Science,Paper 1,1,Computer Systems,75,,qualification,50,
CAIE,Cambridge IGCSE,0478,Computer Science,Paper 2,2,"Algorithms, Programming and Logic",75,,qualification,50,
CAIE,Cambridge IGCSE,0984,Computer Science (9-1),Paper 1,1,Computer Systems,75,,qualification,50,
CAIE,Cambridge IGCSE,0984,Computer Science (9-1),Paper 2,2,"Algorithms, Programming and Logic",75,,qualification,50,
CAIE,Cambridge IGCSE,0445,Design & Technology,Paper 1,1,Product Design,50,,qualification,25,
CAIE,Cambridge IGCSE,0445,Design & Technology,Paper 3,3,Materials,50,Written,qualification,25,
CAIE,Cambridge IGCSE,0445,Design & Technology,Component 2,2,Project,100,Written,qualification,50,
CAIE,Cambridge IGCSE,0445,Design & Technology,Paper 4,4,Graphic Products,50,Written,qualification,25,
CAIE,Cambridge IGCSE,0979,Design & Technology (9-1),Paper 1,1,Product Design,50,,qualification,25,
CAIE,Cambridge IGCSE,0979,Design & Technology (9-1),Paper 3,3,Materials,50,Written,qualification,25,
CAIE,Cambridge IGCSE,0979,Design & Technology (9-1),Component 2,2,Project,100,Written,qualification,50,
CAIE,Cambridge IGCSE,0979,Design & Technology (9-1),Paper 4,4,Graphic Products,50,Written,qualification,25,
CAIE,Cambridge IGCSE,0411,Drama,Paper 1,1,Written examination,80,,qualification,40,
CAIE,Cambridge IGCSE,0411,Drama,Component 2,2,Coursework,120,,qualification,60,
CAIE,Cambridge IGCSE,0994,Drama (9-1),Paper 1,1,Written examination,80,,qualification,40,
CAIE,Cambridge IGCSE,0994,Drama (9-1),Component 2,2,Coursework,120,,qualification,60,
CAIE,Cambridge IGCSE,0455,Economics,Paper 1,1,Multiple Choice,40,,qualification,30,
CAIE,Cambridge IGCSE,0455,Economics,Paper 2,2,Structured Questions,80,,qualification,70,
CAIE,Cambridge IGCSE,0987,Economics (9-1),Paper 1,1,Multiple Choice,40,,qualification,30,
CAIE,Cambridge IGCSE,0987,Economics (9-1),Paper 2,2,Structured Questions,80,,qualification,70,
CAIE,Cambridge IGCSE,0465,English (Core) as a Second Language (Egypt),Paper 1,1,Reading and Writing,60,,qualification,70,
CAIE,Cambridge IGCSE,0465,English (Core) as a Second Language (Egypt),Paper 2,2,Approximately 45 minutes,30,,qualification,30,
CAIE,Cambridge IGCSE,0472,English (as an Additional Language),Paper 1,1,Approximately 50 minutes,40,,qualification,25,
CAIE,Cambridge IGCSE,0472,English (as an Additional Language),Paper 2,2,Reading,45,,qualification,25,
CAIE,Cambridge IGCSE,0472,English (as an Additional Language),Paper 3,3,Approximately 10 minutes,40,,qualification,25,
CAIE,Cambridge IGCSE,0472,English (as an Additional Language),Paper 4,4,Writing,45,,qualification,25,
CAIE,Cambridge IGCSE,0772,English (as an Additional Language) (9-1),Paper 1,1,Approximately 50 minutes,40,,qualification,25,
CAIE,Cambridge IGCSE,0772,English (as an Additional Language) (9-1),Paper 2,2,Reading,45,,qualification,25,
CAIE,Cambridge IGCSE,0772,English (as an Additional Language) (9-1),Paper 3,3,Approximately 10 minutes,40,,qualification,25,
CAIE,Cambridge IGCSE,0772,English (as an Additional Language) (9-1),Paper 4,4,Writing,45,,qualification,25,
CAIE,Cambridge IGCSE,0500,English - First Language,Paper 1,1,Reading,80,,qualification,50,
CAIE,Cambridge IGCSE,0500,English - First Language,Paper 2,2,Directed Writing and Composition,80,,qualification,50,
CAIE,Cambridge IGCSE,0500,English - First Language,Component 3,3,Coursework Portfolio,80,,qualification,50,
CAIE,Cambridge IGCSE,0990,English - First Language (9-1),Paper 1,1,Reading,80,,qualification,50,
CAIE,Cambridge IGCSE,0990,English - First Language (9-1),Paper 2,2,Directed Writing and Composition,80,,qualification,50,
CAIE,Cambridge IGCSE,0990,English - First Language (9-1),Component 3,3,Coursework Portfolio,80,,qualification,50,
CAIE,Cambridge IGCSE,0524,English - First Language (US),Paper 1,1,Reading,80,,qualification,50,
CAIE,Cambridge IGCSE,0524,English - First Language (US),Component 3,3,Coursework Portfolio,80,,qualification,50,
CAIE,Cambridge IGCSE,0511,English as a Second Language (Count-in speaking),Component 1,1,Reading and Writing,60,,qualification,50,
CAIE,Cambridge IGCSE,0511,English as a Second Language (Count-in speaking),Component 2,2,Approximately 50 minutes,40,,qualification,25,
CAIE,Cambridge IGCSE,0511,English as a Second Language (Count-in speaking),Component 3,3,Approximately 10–15 minutes,40,,qualification,25,"Candidates take part in an interview, short talk"
CAIE,Cambridge IGCSE,0993,English as a Second Language (Speaking Endorsement) (9-1),Component 1,1,Reading and Writing,60,,qualification,70,
CAIE,Cambridge IGCSE,0993,English as a Second Language (Speaking Endorsement) (9-1),Component 2,2,Approximately 50 minutes,40,,qualification,30,
CAIE,Cambridge IGCSE,0510,English as a Second Language (Speaking endorsement),Component 1,1,Reading and Writing,60,,qualification,70,
CAIE,Cambridge IGCSE,0510,English as a Second Language (Speaking endorsement),Component 2,2,Approximately 50 minutes,40,,qualification,30,
CAIE,Cambridge IGCSE,0992,English – Literature in English (9-1) – 0992,Paper 1,1,Poetry and Prose (Open text),50,,qualification,50,
CAIE,Cambridge IGCSE,0992,English – Literature in English (9-1) – 0992,Paper 2,2,Drama and Unseen (Open text),50,,qualification,50,
CAIE,Cambridge IGCSE,0992,English – Literature in English (9-1) – 0992,Component 3,3,Coursework,50,,qualification,50,
CAIE,Cambridge IGCSE,0454,Enterprise,Paper 1,1,Written Paper,100,,qualification,50,
CAIE,Cambridge IGCSE,0454,Enterprise,Component 2,2,Coursework,60,Written,qualification,50,
CAIE,Cambridge IGCSE,0680,Environmental Management,Paper 1,1,Principles of Environmental Management,80,,qualification,50,
CAIE,Cambridge IGCSE,0680,Environmental Management,Paper 2,2,Environmental Management in Context,80,,qualification,50,
CAIE,Cambridge IGCSE,0648,Food & Nutrition,Paper 1,1,Theory,100,,qualification,50,
CAIE,Cambridge IGCSE,0648,Food & Nutrition,Paper 2,2,(plus a 1 hour 30 minutes Planning Session),100,,qualification,50,
CAIE,Cambridge IGCSE,7156,French (9-1),Paper 1,1,Approximately 50 minutes,40,,qualification,25,
CAIE,Cambridge IGCSE,7156,French (9-1),Paper 2,2,Reading,40,,qualification,25,
CAIE,Cambridge IGCSE,7156,French (9-1),Paper 3,3,Approximately 10 minutes,40,,qualification,25,
CAIE,Cambridge IGCSE,7156,French (9-1),Paper 4,4,Writing,40,,qualification,25,
CAIE,Cambridge IGCSE,0501,French - First Language,Paper 1,1,Reading and Directed Writing,50,,qualification,50,
CAIE,Cambridge IGCSE,0501,French - First Language,Paper 2,2,Writing,50,,qualification,50,
CAIE,Cambridge IGCSE,0520,French - Foreign Language,Paper 1,1,Approximately 50 minutes,40,,qualification,25,
